,Accuracy
Top 2,0.7488151658767772
Top 3,0.718978102189781
Top 4,0.6279761904761905
Top 5,0.6246719160104987
Top 10,0.4962825278810409
Top 20,0.3594405594405594
Top 30,0.3496932515337423
