,Accuracy,Time
HCD35_Positive,84.52,344.8893024921417
HCD45_Positive,81.25,765.56609416008
HCD65_Positive,80.36,432.36455035209656
HCD35_Negative,73.4,8.878957509994507
HCD45_Negative,70.21,13.998462677001953
HCD65_Negative,68.09,94.32582950592041
