,Accuracy
Top 2,0.6229508196721312
Top 3,0.5897435897435898
Top 4,0.5638297872340425
Top 5,0.4636363636363636
Top 10,0.36809815950920244
Top 20,0.3853211009174312
Top 30,0.284
