,Accuracy,Time
HCD35_Positive,71.73,0.3935861587524414
HCD45_Positive,70.83,0.3585011959075928
HCD65_Positive,65.18,0.3449218273162842
HCD35_Negative,71.28,0.0664823055267334
HCD45_Negative,67.02,0.08810997009277344
HCD65_Negative,64.89,0.09601116180419922
