,Accuracy,Time
HCD35_Positive,68.45238095238095,56.502647161483765
HCD45_Positive,68.45238095238095,76.55392646789551
HCD65_Positive,69.04761904761905,139.48523950576782
HCD35_Negative,65.9574474426026,11.45995831489563
HCD45_Negative,64.8936167676398,13.500787734985352
HCD65_Negative,65.957447569421,22.84646224975586
