,Feature Selection + Decomposition_Positive,Feature Selection + Decomposition_Negative
Random Forest,0.7797619047619048,0.7021276595744681
XGBoost,0.8035714285714286,0.7553191489361702
LightGBM,0.8511904761904762,0.7659574468085106
Keras,0.6309523809523809,0.6276595820771887
