,Accuracy
Top 2,0.7914691943127962
Top 3,0.7518248175182481
Top 4,0.6398809523809523
Top 5,0.6089238845144357
Top 10,0.4962825278810409
Top 20,0.3804195804195804
Top 30,0.38404907975460123
