,Accuracy
Top 2,0.7582938388625592
Top 3,0.7591240875912408
Top 4,0.6011904761904762
Top 5,0.6036745406824147
Top 10,0.44981412639405205
Top 20,0.3706293706293706
Top 30,0.35337423312883437
